	Unnamed: 0	date_game	win_loss_result	team_ID	homeORvis	opp_ID	win_loss_streak	streak_L10	total_wins	win_percent	long	lat
0	0	Monday, Apr 6 2015	L	LAA	@	SEA	-1.0	0.0	0.0	0.0	-122.332283	47.591358
1	1	Tuesday, Apr 7 2015	W	LAA	@	SEA	1.0	1.0	1.0	0.5	-122.332283	47.591358
2	2	Wednesday, Apr 8 2015	W	LAA	@	SEA	2.0	2.0	2.0	0.666666666667	-122.332283	47.591358
3	3	Friday, Apr 10 2015	L	LAA		KCR	-1.0	2.0	2.0	0.5	-117.883194	33.799925
4	4	Saturday, Apr 11 2015	L	LAA		KCR	-2.0	2.0	2.0	0.4	-117.883194	33.799925
5	5	Sunday, Apr 12 2015	L	LAA		KCR	-3.0	2.0	2.0	0.333333333333	-117.883194	33.799925
6	6	Monday, Apr 13 2015	W	LAA	@	TEX	1.0	3.0	3.0	0.428571428571	-97.082454	32.751147
7	7	Tuesday, Apr 14 2015	L	LAA	@	TEX	-1.0	3.0	3.0	0.375	-97.082454	32.751147
8	8	Wednesday, Apr 15 2015	W	LAA	@	TEX	1.0	4.0	4.0	0.444444444444	-97.082454	32.751147
9	9	Friday, Apr 17 2015	W	LAA	@	HOU	2.0	5.0	5.0	0.5	-95.354824	29.756965
10	10	Saturday, Apr 18 2015	L	LAA	@	HOU	-1.0	5.0	5.0	0.454545454545	-95.354824	29.756965
11	11	Sunday, Apr 19 2015	L	LAA	@	HOU	-2.0	4.0	5.0	0.416666666667	-95.354824	29.756965
12	12	Monday, Apr 20 2015	L	LAA		OAK	-3.0	3.0	5.0	0.384615384615	-117.883194	33.799925
13	13	Tuesday, Apr 21 2015	W	LAA		OAK	1.0	4.0	6.0	0.428571428571	-117.883194	33.799925
14	14	Wednesday, Apr 22 2015	L	LAA		OAK	-1.0	4.0	6.0	0.4	-117.883194	33.799925
15	15	Thursday, Apr 23 2015	W	LAA		OAK	1.0	5.0	7.0	0.4375	-117.883194	33.799925
16	16	Friday, Apr 24 2015	W	LAA		TEX	2.0	5.0	8.0	0.470588235294	-117.883194	33.799925
17	17	Saturday, Apr 25 2015	W	LAA		TEX	3.0	6.0	9.0	0.5	-117.883194	33.799925
18	18	Sunday, Apr 26 2015	L	LAA		TEX	-1.0	5.0	9.0	0.473684210526	-117.883194	33.799925
19	19	Tuesday, Apr 28 2015	L	LAA	@	OAK	-2.0	4.0	9.0	0.45	-122.200523	37.751605
20	20	Wednesday, Apr 29 2015	W	LAA	@	OAK	1.0	5.0	10.0	0.47619047619	-122.200523	37.751605
21	21	Thursday, Apr 30 2015	W	LAA	@	OAK	2.0	6.0	11.0	0.5	-122.200523	37.751605
22	22	Friday, May 1 2015	L-wo	LAA	@	SFG	-1.0	6.0	11.0	0.478260869565	-122.389595	37.778473
23	23	Saturday, May 2 2015	L	LAA	@	SFG	-2.0	5.0	11.0	0.458333333333	-122.389595	37.778473
24	24	Sunday, May 3 2015	L	LAA	@	SFG	-3.0	5.0	11.0	0.44	-122.389595	37.778473
